,New York,Los Angeles,Chicago,Houston,Phoenix,Philadelphia,San Antonio,San Diego,Dallas,Austin,Jacksonville,Charlotte,Indianapolis,Seattle,Denver,Washington,Atlanta,Boston,Detroit,Cleveland,Minneapolis,St. Louis,Las Vegas,San Francisco,Portland,Salt Lake City
New York,0,2451,713,1419,2144,81,1583,2433,1373,1513,835,531,645,2408,1631,204,746,190,482,405,1019,874,2233,2572,2446,1973
Los Angeles,2451,0,1746,1373,358,2393,1204,111,1240,1227,2148,2120,1810,959,831,2299,1937,2597,1983,2049,1524,1589,229,347,825,579
Chicago,713,1746,0,941,1454,665,1052,1735,804,979,863,587,165,1737,920,595,588,851,238,308,355,262,1524,1859,1759,1260
Houston,1419,1373,941,0,1016,1341,189,1304,224,146,822,927,865,1891,878,1220,702,1606,1105,1114,1056,679,1228,1645,1835,1200
Phoenix,2144,358,1454,1016,0,2082,848,299,886,870,1795,1783,1499,1114,585,1982,1592,2300,1691,1749,1280,1272,256,654,1005,504
Philadelphia,81,2393,665,1341,2082,0,1507,2373,1300,1437,758,451,584,2379,1579,123,666,271,442,359,985,810,2177,2523,2412,1925
San Antonio,1583,1204,1052,189,848,1507,0,1128,252,74,1012,1105,999,1786,801,1387,883,1767,1238,1257,1110,792,1073,1490,1719,1087
San Diego,2433,111,1735,1304,299,2373,1128,0,1184,1157,2092,2081,1789,1063,833,2275,1891,2584,1972,2034,1533,1564,265,458,931,627
Dallas,1373,1240,804,224,886,1300,252,1184,0,182,908,930,764,1682,663,1184,721,1552,1000,1026,863,548,1071,1484,1633,1000
Austin,1513,1227,979,146,870,1437,74,1157,182,0,961,1040,926,1771,771,1318,819,1696,1165,1184,1043,719,1085,1502,1709,1074
Jacksonville,835,2148,863,822,1795,758,1012,2092,908,961,0,341,699,2455,1467,647,285,1017,831,770,1191,751,1970,2375,2440,1837
Charlotte,531,2120,587,927,1783,451,1105,2081,930,1040,341,0,428,2286,1359,330,227,721,504,435,939,568,1920,2302,2290,1727
Indianapolis,645,1810,165,865,1499,584,999,1789,764,926,699,428,0,1872,1001,492,427,807,240,263,511,231,1595,1950,1886,1357
Seattle,2408,959,1737,1891,1114,2379,1786,1063,1682,1771,2455,2286,1872,0,1021,2327,2182,2492,1938,2026,1395,1724,871,679,145,701
Denver,1631,831,920,878,585,1579,801,833,663,771,1467,1359,1001,1021,0,1493,1212,1770,1157,1227,700,797,606,950,983,371
Washington,204,2299,595,1220,1982,123,1387,2275,1184,1318,647,330,492,2327,1493,0,543,394,394,304,933,710,2086,2441,2353,1846
Atlanta,746,1937,588,702,1592,666,883,1891,721,819,285,227,427,2182,1212,543,0,937,596,554,908,467,1746,2140,2173,1584
Boston,190,2597,851,1606,2300,271,1767,2584,1552,1696,1017,721,807,2492,1770,394,937,0,613,551,1124,1038,2375,2699,2540,2099
Detroit,482,1983,238,1105,1691,442,1238,1972,1000,1165,831,504,240,1938,1157,394,596,613,0,90,543,455,1762,2092,1970,1492
Cleveland,405,2049,308,1114,1749,359,1257,2034,1026,1184,770,435,263,2026,1227,304,554,551,90,0,631,492,1830,2167,2055,1568
Minneapolis,1019,1524,355,1056,1280,985,1110,1533,863,1043,1191,939,511,1395,700,933,908,1124,543,631,0,466,1296,1585,1427,987
St. Louis,874,1589,262,679,1272,810,792,1564,548,719,751,568,231,1724,797,710,467,1038,455,492,466,0,1378,1746,1723,1162
Las Vegas,2233,229,1524,1228,256,2177,1073,265,1071,1085,1970,1920,1595,871,606,2086,1746,2375,1762,1830,1296,1378,0,418,755,362
San Francisco,2572,347,1859,1645,654,2523,1490,458,1484,1502,2375,2302,1950,679,950,2441,2140,2699,2092,2167,1585,1746,418,0,534,600
Portland,2446,825,1759,1835,1005,2412,1719,931,1633,1709,2440,2290,1886,145,983,2353,2173,2540,1970,2055,1427,1723,755,534,0,636
Salt Lake City,1973,579,1260,1200,504,1925,1087,627,1000,1074,1837,1727,1357,701,371,1846,1584,2099,1492,1568,987,1162,362,600,636,0
